type,sku,art,kollektion,masse,farbe,ean
variant_child,NATeppstar140x70,Loribaft,Teppstar,140 x 70 cm,Natural,4251469408531
variant_child,NATeppstar200x140,Loribaft,Teppstar,200 x 140 cm,Natural,4251469408579
variant_child,NATeppstar240x170,Loribaft,Teppstar,240 x 170 cm,Natural,4251469408586
variant_child,NATeppstar300x200,Loribaft,Teppstar,300 x 200 cm,Natural,4251469451650
variant_child,NATeppstar350x250,Loribaft,Teppstar,350 x 250 cm,Natural,4251469452343
variant_child,NATeppstar300x80,Loribaft,Teppstar,300 x 80 cm,Natural,4251469452176
variant_child,NATeppstar200x80,Loribaft,Teppstar,200 x 80 cm,Natural,4251469408548
