type,sku,art,kollektion,masse,farbe,ean
simple,123Ziegler90x150,Ziegler,leer,"90 x 150 cm",leer,4251469453449
variant_child,GDUni200x100,Gabbeh,Uni,"100 x 200 cm",Gold,4251469412934
